BarcodeID,SpeciesID,CountTotal,SizeMean,SizeMedian,SizeSD,BiomassTotal,Notes
D02414,GAMM,0,NA,NA,NA,0,
D02414,NZMS,9,0.61,0.5,0.22,0.07,
D02414,SIML,1,2,2,NA,0.02,
D02415,CHIL,3,2,2,0,0.03,
D02415,GAMM,0,NA,NA,NA,0,
D02415,NZMS,13,0.77,0.5,0.44,0.22,
D02415,SIML,1,3,3,NA,0.05,
D02421,CHIL,19,2.47,2,0.7,0.42,
D02421,GAMM,1,2,2,NA,0.06,
D02421,NZMS,8,0.62,0.5,0.23,0.06,
D02421,SIML,6,2.17,2,0.75,0.16,
D02422,CHIL,6,3.33,3,0.52,0.26,
D02422,GAMM,3,1.33,1,0.58,0.08,
D02422,NZMS,9,0.78,0.5,0.51,0.17,
D02422,SIML,14,2.36,2,0.93,0.56,
D02423,CHIL,3,2.67,3,1.53,0.1,
D02423,GAMM,0,NA,NA,NA,0,
D02423,NZMS,230,0.5,0.5,0,0.85,
D02423,SIML,12,3.17,3,0.83,0.92,
D02424,CHIL,3,3,3,0,0.09,
D02424,GAMM,0,NA,NA,NA,0,
D02424,NZMS,182,0.5,0.5,0,0.68,
D02424,SIML,9,2.67,3,0.71,0.4,
D02425,CHIL,3,2.67,3,1.53,0.1,
D02425,GAMM,1,2,2,NA,0.06,
D02425,NZMS,192,0.55,0.5,0.27,1.34,
D02425,SIML,2,4,4,1.41,0.3,
D02531,CHIL,4,3.25,2.5,1.89,0.24,
D02531,GAMM,0,NA,NA,NA,0,
D02531,NZMS,18,0.56,0.5,0.16,0.1,
D02531,SIML,0,NA,NA,NA,0,
D02532,CHIL,4,2,2,0.82,0.05,
D02532,GAMM,2,3.5,3.5,2.12,0.92,
D02532,NZMS,19,0.5,0.5,0,0.07,
D02532,SIML,1,2,2,NA,0.02,
D02533,CHIL,4,2.5,2.5,0.58,0.08,
D02533,GAMM,0,NA,NA,NA,0,
D02533,NZMS,7,0.64,0.5,0.24,0.06,
D02533,SIML,1,5,5,NA,0.25,
D02534,CHIL,3,3,3,0,0.09,
D02534,GAMM,0,NA,NA,NA,0,
D02534,NZMS,36,0.5,0.5,0,0.13,
D02534,SIML,2,3.5,3.5,0.71,0.18,
D02535,CHIL,7,3.14,3,1.57,0.36,
D02535,GAMM,2,5,5,1.41,1.9,
D02535,NZMS,23,0.54,0.5,0.14,0.12,
D02535,SIML,0,NA,NA,NA,0,
D02541,CHIL,38,3.05,3,1.51,1.97,
D02541,GAMM,6,3.67,3.5,1.21,2.62,
D02541,NZMS,17,1.15,1,0.81,0.94,
D02541,SIML,1,2,2,NA,0.02,
D02542,CHIL,41,2.5,2,1.18,1.17,
D02542,GAMM,1,2,2,NA,0.06,
D02542,NZMS,16,0.84,1,0.24,0.24,
D02542,SIML,3,2.67,2,1.15,0.16,
D02543,CHIL,17,2.71,3,0.69,0.46,
D02543,GAMM,0,NA,NA,NA,0,
D02543,NZMS,303,0.5,0.5,0.05,1.17,
D02543,SIML,2,6.5,6.5,0.71,1.14,
D02544,CHIL,3,2.33,2,0.58,0.05,
D02544,GAMM,0,NA,NA,NA,0,
D02544,NZMS,113,0.5,0.5,0.05,0.44,
D02544,SIML,1,3,3,NA,0.05,
D02545,CHIL,12,2.75,3,0.97,0.37,
D02545,GAMM,1,3,3,NA,0.2,
D02545,NZMS,251,0.51,0.5,0.09,1.04,
D02545,SIML,2,5.5,5.5,0.71,0.69,
D02551,CHIL,20,2.85,3,0.93,0.67,
D02551,GAMM,0,NA,NA,NA,0,
D02551,NZMS,26,0.5,0.5,0,0.1,
D02551,SIML,4,2.75,2.5,0.96,0.21,
D02552,CHIL,20,1.9,2,0.91,0.28,
D02552,GAMM,0,NA,NA,NA,0,
D02552,NZMS,2,1.5,1.5,0.71,0.13,
D02552,SIML,2,2,2,1.41,0.05,
D02611,CHIL,84,3.13,3,2.21,6.16,
D02611,GAMM,3,3.33,3,2.52,1.66,
D02611,NZMS,0,NA,NA,NA,0,
D02611,SIML,3,3.67,4,1.53,0.4,
D02612,CHIL,114,3,3,1.13,4.59,
D02612,GAMM,0,NA,NA,NA,0,
D02612,NZMS,0,NA,NA,NA,0,
D02612,SIML,1,4,4,NA,0.13,
D02660,CHIL,340,3.27,3,0.91,15.64,
D02660,GAMM,0,NA,NA,NA,0,
D02660,NZMS,1,2,2,NA,0.11,
D02660,SIML,2,4.5,4.5,2.12,0.49,
D02661,CHIL,404,3.55,4,0.94,22.65,
D02661,GAMM,0,NA,NA,NA,0,
D02661,NZMS,2,2,2,0,0.22,
D02661,SIML,3,2.33,2,0.58,0.08,
D02718,CHIL,186,3.44,3,1.67,12.53,
D02718,GAMM,1,1,1,NA,0.01,
D02718,NZMS,22,0.52,0.5,0.11,0.1,
D02718,SIML,8,4.25,4,1.28,1.55,
D02719,CHIL,400,3.11,3,1.53,21.33,
D02719,GAMM,3,3,3,1,0.71,
D02719,NZMS,35,0.57,0.5,0.28,0.27,
D02719,SIML,5,3.4,3,1.52,0.59,
D02860,CHIL,252,3.74,4,0.9,15.95,
D02860,GAMM,7,2.29,2,1.11,0.99,
D02860,NZMS,46,0.59,0.5,0.26,0.36,
D02860,SIML,2,3,3,2.83,0.25,
D02861,CHIL,235,3.42,3,0.89,12.09,
D02861,GAMM,4,3.5,3.5,0.58,1.3,
D02861,NZMS,348,1.29,1,0.96,25.74,
D02861,SIML,2,2.5,2.5,0.71,0.07,
D02867,CHIL,97,2.85,3,1.22,3.75,
D02867,GAMM,2,3,3,1.41,0.51,
D02867,NZMS,4,2.5,2,1,0.9,
D02867,SIML,4,2.5,2,1.91,0.3,
D02944,CHIL,54,3.64,3,1.11,3.34,
D02944,GAMM,0,NA,NA,NA,0,
D02944,NZMS,7,1.57,2,0.53,0.49,
D02944,SIML,8,2.62,3,0.52,0.32,
D02995,CHIL,16,3.5,4,1.21,0.93,
D02995,GAMM,1,3,3,NA,0.2,
D02995,NZMS,2,1.5,1.5,0.71,0.13,
D02995,SIML,1,7,7,NA,0.7,
D03053,CHIL,6,3.67,4,0.52,0.33,
D03053,GAMM,1,3,3,NA,0.2,
D03053,NZMS,909,0.58,0.5,0.28,7.21,
D03053,SIML,1,4,4,NA,0.13,
D03061,CHIL,12,3.5,3,0.67,0.61,
D03061,GAMM,10,3,3,0.67,2.21,
D03061,NZMS,612,0.56,0.5,0.17,3.51,
D03061,SIML,9,3.67,3,1,1.1,
D03121,CHIL,5,2.4,2,0.55,0.09,
D03121,GAMM,12,2.5,2,1.17,2.23,
D03121,NZMS,1075,0.61,0.5,0.63,24.19,
D03121,SIML,1,5,5,NA,0.25,
D03129,CHIL,2,3,3,0,0.06,
D03129,GAMM,0,NA,NA,NA,0,
D03129,NZMS,49,0.55,0.5,0.25,0.3,
D03129,SIML,0,NA,NA,NA,0,
D03192,CHIL,38,2.97,3,1.08,1.49,
D03192,GAMM,2,1.5,1.5,0.71,0.07,
D03192,NZMS,14,1.25,1,0.7,0.73,
D03192,SIML,2,1.5,1.5,0.71,0.02,
D03202,CHIL,95,2.79,3,1.07,3.22,
D03202,GAMM,3,1.33,1,0.58,0.08,
D03202,NZMS,67,0.83,0.5,0.57,1.64,
D03202,SIML,5,2.8,2,1.3,0.35,
D03217,CHIL,397,3.16,3,1.03,17.59,
D03217,GAMM,5,1.4,1,0.55,0.15,
D03217,NZMS,50,1.21,1,0.85,3.02,
D03217,SIML,0,NA,NA,NA,0,
D03281,CHIL,519,3.16,3,1.24,24.95,
D03281,GAMM,21,2.38,2,0.92,3.03,
D03281,NZMS,564,1.77,2,1.06,72.6,
D03281,SIML,14,2.71,3,0.73,0.69,
D03287,CHIL,59,3.31,3,1.05,2.9,
D03287,GAMM,13,2.46,2,1.13,2.26,
D03287,NZMS,640,1.73,0.5,1.41,106.02,
D03287,SIML,1,3,3,NA,0.05,
D03371,CHIL,8,3.12,3,1.25,0.35,
D03371,GAMM,0,NA,NA,NA,0,
D03371,NZMS,229,0.65,0.5,0.47,3.56,
D03371,SIML,2,2.5,2.5,0.71,0.07,
D03390,CHIL,7,3.29,3,1.11,0.33,
D03390,GAMM,2,3.5,3.5,0.71,0.65,
D03390,NZMS,1236,0.51,0.5,0.14,5.75,
D03390,SIML,5,3.6,3,1.34,0.64,
D03399,CHIL,6,4.17,4.5,0.98,0.49,
D03399,GAMM,7,2.86,3,1.07,1.56,
D03399,NZMS,1604,0.52,0.5,0.26,11.24,
D03399,SIML,5,4,4,0.71,0.69,
D03420,CHIL,10,3.2,3,1.14,0.46,
D03420,GAMM,0,NA,NA,NA,0,
D03420,NZMS,43,0.5,0.5,0,0.16,
D03420,SIML,0,NA,NA,NA,0,
D03429,CHIL,22,3.41,3,0.85,1.1,
D03429,GAMM,0,NA,NA,NA,0,
D03429,NZMS,0,NA,NA,NA,0,
D03429,SIML,0,NA,NA,NA,0,
D03438,CHIL,43,2.72,3,1.08,1.39,"Dead:  For 250um sample  1,2,5,2,4,2 included in totals
              For 1mm sample  4,4,3,2,1, included in totals"
D03438,GAMM,0,NA,NA,NA,0,
D03438,NZMS,1,0.5,0.5,NA,0,
D03438,SIML,0,NA,NA,NA,0,
D03453,CHIL,137,3.47,4,0.89,7.12,
D03453,GAMM,0,NA,NA,NA,0,
D03453,NZMS,3,1.33,1,0.58,0.15,
D03453,SIML,0,NA,NA,NA,0,
D03595,CHIL,667,1.98,2,0.96,10.72,
D03595,GAMM,34,1.65,1,1.43,5.29,
D03595,NZMS,765,0.56,0.5,0.45,10.34,
D03595,SIML,2,2.5,2.5,0.71,0.07,
D03606,CHIL,2676,2.01,2,0.85,40.77,
D03606,GAMM,91,2.14,2,1.56,19.14,
D03606,NZMS,191,1.65,2,1.05,22.34,
D03606,SIML,8,1.5,1,0.76,0.09,
D03649,CHIL,75,2.58,2,1.18,2.32,
D03649,GAMM,20,1.3,1,0.73,0.78,
D03649,NZMS,1222,0.68,0.5,0.7,33.51,
D03649,SIML,1,1,1,NA,0,
D03658,CHIL,56,3.45,3,0.9,3,
D03658,GAMM,2,2.5,2.5,0.71,0.26,
D03658,NZMS,391,0.72,0.5,0.89,16.31,
D03658,SIML,1,1,1,NA,0,
D03670,CHIL,19,2.79,3,1.32,0.71,
D03670,GAMM,13,1.54,2,0.52,0.48,
D03670,NZMS,6599,0.83,0.5,0.97,352.81,
D03670,SIML,1,1,1,NA,0,
D03742,CHIL,856,3.1,3,1.02,36.24,
D03742,GAMM,5,0.7,0.5,0.27,0.02,
D03742,NZMS,3,2,2,0,0.32,
D03742,SIML,1,2,2,NA,0.02,
D04777,CHIL,1,2,2,NA,0.01,
D04777,GAMM,0,NA,NA,NA,0,
D04777,NZMS,0,NA,NA,NA,0,
D04777,SIML,0,NA,NA,NA,0,
D04793,CHIL,1,3,3,NA,0.03,
D04793,GAMM,1,2,2,NA,0.06,
D04793,NZMS,1,2,2,NA,0.11,
D04793,SIML,0,NA,NA,NA,0,
D04796,CHIL,0,NA,NA,NA,0,
D04796,GAMM,0,NA,NA,NA,0,
D04796,NZMS,0,NA,NA,NA,0,
D04796,SIML,0,NA,NA,NA,0,
D04798,CHIL,1,4,4,NA,0.07,
D04798,GAMM,0,NA,NA,NA,0,
D04798,NZMS,1,2,2,NA,0.11,
D04798,SIML,0,NA,NA,NA,0,
D04805,CHIL,2,3,3,1.41,0.08,
D04805,GAMM,0,NA,NA,NA,0,
D04805,NZMS,0,NA,NA,NA,0,
D04805,SIML,0,NA,NA,NA,0,
D04821,CHIL,1,3,3,NA,0.03,
D04821,GAMM,0,NA,NA,NA,0,
D04821,NZMS,0,NA,NA,NA,0,
D04821,SIML,0,NA,NA,NA,0,
D04830,CHIL,2,3.5,3.5,0.71,0.1,
D04830,GAMM,0,NA,NA,NA,0,
D04830,NZMS,0,NA,NA,NA,0,
D04830,SIML,0,NA,NA,NA,0,
D04832,CHIL,1,3,3,NA,0.03,
D04832,GAMM,0,NA,NA,NA,0,
D04832,NZMS,0,NA,NA,NA,0,
D04832,SIML,0,NA,NA,NA,0,
D04839,CHIL,4,2.75,3,0.5,0.1,
D04839,GAMM,0,NA,NA,NA,0,
D04839,NZMS,0,NA,NA,NA,0,
D04839,SIML,0,NA,NA,NA,0,
D04934,CHIL,1,3,3,NA,0.03,
D04934,GAMM,0,NA,NA,NA,0,
D04934,NZMS,19,0.53,0.5,0.11,0.09,
D04934,SIML,0,NA,NA,NA,0,
D04940,CHIL,1,3,3,NA,0.03,
D04940,GAMM,0,NA,NA,NA,0,
D04940,NZMS,5,2.2,3,1.1,0.91,
D04940,SIML,1,2,2,NA,0.02,
D04941,CHIL,0,NA,NA,NA,0,
D04941,GAMM,0,NA,NA,NA,0,
D04941,NZMS,0,NA,NA,NA,0,
D04941,SIML,0,NA,NA,NA,0,
D04942,CHIL,4,2.5,2.5,0.58,0.08,
D04942,GAMM,0,NA,NA,NA,0,
D04942,NZMS,3,2.67,2,1.15,0.8,
D04942,SIML,2,3,3,0,0.11,
D04947,CHIL,0,NA,NA,NA,0,
D04947,GAMM,1,1,1,NA,0.01,
D04947,NZMS,125,0.54,0.5,0.29,0.96,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D04947,SIML,1,2,2,NA,0.02,
D04948,CHIL,0,NA,NA,NA,0,
D04948,GAMM,0,NA,NA,NA,0,
D04948,NZMS,0,NA,NA,NA,0,
D04948,SIML,0,NA,NA,NA,0,
D04949,CHIL,0,NA,NA,NA,0,
D04949,GAMM,8,1.5,1,0.76,0.36,
D04949,NZMS,284,0.51,0.5,0.09,1.18,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D04949,SIML,5,2.4,2,0.55,0.16,
D04953,CHIL,0,NA,NA,NA,0,
D04953,GAMM,1,2,2,NA,0.06,
D04953,NZMS,2,1.5,1.5,0.71,0.13,
D04953,SIML,4,3.25,3.5,0.96,0.33,
D04954,CHIL,0,NA,NA,NA,0,
D04954,GAMM,1,2,2,NA,0.06,
D04954,NZMS,2,2,2,0,0.22,
D04954,SIML,3,3,3,1,0.2,
D04956,CHIL,3,3.67,3,1.15,0.18,
D04956,GAMM,7,1.43,1,0.53,0.22,
D04956,NZMS,402,0.51,0.5,0.23,2.54,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D04956,SIML,1,3,3,NA,0.05,
D04957,CHIL,0,NA,NA,NA,0,
D04957,GAMM,7,1.43,1,0.53,0.22,
D04957,NZMS,1062,0.5,0.5,0.02,3.97,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D04957,SIML,1,4,4,NA,0.13,
D04958,CHIL,1,3,3,NA,0.03,
D04958,GAMM,5,1,1,0,0.04,
D04958,NZMS,842,1,1,0,16.84,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D04958,SIML,1,2,2,NA,0.02,
D04962,CHIL,2,3.5,3.5,0.71,0.1,
D04962,GAMM,0,NA,NA,NA,0,
D04962,NZMS,1,2,2,NA,0.11,
D04962,SIML,3,2.67,2,1.15,0.16,
D05073,CHIL,1,3,3,NA,0.03,
D05073,GAMM,0,NA,NA,NA,0,
D05073,NZMS,53,0.5,0.5,0,0.2,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05073,SIML,1,3,3,NA,0.05,
D05100,CHIL,3,2.33,2,0.58,0.05,
D05100,GAMM,0,NA,NA,NA,0,
D05100,NZMS,8,0.5,0.5,0,0.03,
D05100,SIML,0,NA,NA,NA,0,
D05101,CHIL,11,2.91,3,0.54,0.34,
D05101,GAMM,3,1.67,2,0.58,0.13,
D05101,NZMS,105,0.52,0.5,0.15,0.51,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05101,SIML,0,NA,NA,NA,0,
D05103,CHIL,2,2,2,0,0.02,
D05103,GAMM,0,NA,NA,NA,0,
D05103,NZMS,11,0.55,0.5,0.15,0.06,
D05103,SIML,0,NA,NA,NA,0,
D05104,CHIL,7,2.43,2,1.4,0.2,
D05104,GAMM,0,NA,NA,NA,0,
D05104,NZMS,0,NA,NA,NA,0,
D05104,SIML,0,NA,NA,NA,0,
D05105,CHIL,7,2.86,3,1.07,0.24,
D05105,GAMM,8,2.12,2,0.83,0.8,
D05105,NZMS,6,0.5,0.5,0,0.02,
D05105,SIML,0,NA,NA,NA,0,
D05107,CHIL,26,2.58,2,0.81,0.68,
D05107,GAMM,7,1.86,2,1.07,0.67,
D05107,NZMS,169,0.51,0.5,0.12,0.73,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05107,SIML,2,2,2,0,0.03,
D05108,CHIL,19,3.37,3,0.68,0.88,
D05108,GAMM,4,2,2,0,0.25,
D05108,NZMS,158,0.53,0.5,0.12,0.75,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05108,SIML,0,NA,NA,NA,0,
D05109,CHIL,10,1,1,0,0.02,
D05109,GAMM,1,4,4,NA,0.45,
D05109,NZMS,11,0.64,0.5,0.45,0.15,
D05109,SIML,0,NA,NA,NA,0,
D05110,CHIL,12,3.33,3,0.78,0.56,
D05110,GAMM,5,3.2,4,1.1,1.47,
D05110,NZMS,34,0.59,0.5,0.19,0.22,
D05110,SIML,0,NA,NA,NA,0,
D05111,CHIL,24,3,3,1.18,0.99,
D05111,GAMM,10,3.1,3,1.29,3.19,
D05111,NZMS,16,0.56,0.5,0.17,0.09,
D05111,SIML,0,NA,NA,NA,0,
D05112,CHIL,9,3,3,1.73,0.48,
D05112,GAMM,2,3,3,0,0.4,
D05112,NZMS,42,0.52,0.5,0.11,0.19,
D05112,SIML,0,NA,NA,NA,0,
D05113,CHIL,18,2.5,3,1.04,0.47,
D05113,GAMM,9,2,1,1.5,1.4,
D05113,NZMS,111,0.58,0.5,0.3,0.92,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05113,SIML,0,NA,NA,NA,0,
D05114,CHIL,5,2,2,1.22,0.09,
D05114,GAMM,2,3,3,0,0.4,
D05114,NZMS,0,NA,NA,NA,0,
D05114,SIML,0,NA,NA,NA,0,
D05142,CHIL,103,3,3,0.77,3.7,
D05142,GAMM,210,2.74,3,0.7,37.87,
D05142,NZMS,8741,0.5,0.5,0,32.44,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05142,SIML,1,7,7,NA,0.7,
D05144,CHIL,40,3.73,3.5,1.22,2.71,
D05144,GAMM,214,2.75,3,0.79,41.47,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM)."
D05144,NZMS,9426,0.51,0.5,0.14,44.03,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05144,SIML,0,NA,NA,NA,0,
D05150,CHIL,46,3.52,3,1.89,3.56,
D05150,GAMM,229,2.43,2,0.94,35.13,
D05150,NZMS,8950,0.5,0.5,0.01,33.23,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05150,SIML,0,NA,NA,NA,0,
D05198,CHIL,35,4.74,4,1.98,5.11,
D05198,GAMM,50,2.6,2,1.31,11.56,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM)."
D05198,NZMS,11158,0.5,0.5,0.03,42.02,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05198,SIML,0,NA,NA,NA,0,
D05199,CHIL,55,3.53,3,1.12,3.21,
D05199,GAMM,64,2.77,3,0.68,11.74,
D05199,NZMS,2698,0.62,0.5,0.61,58.61,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM). Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples col"
D05199,SIML,0,NA,NA,NA,0,
D05204,CHIL,12,4,3.5,1.71,1.14,
D05204,GAMM,50,2.68,3,0.68,8.36,
D05204,NZMS,1967,0.53,0.5,0.18,10.83,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05204,SIML,0,NA,NA,NA,0,
D05211,CHIL,45,3.47,3,1.32,2.74,
D05211,GAMM,158,2.13,2,1.29,25.1,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM)."
D05211,NZMS,3641,0.5,0.5,0.02,13.62,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05211,SIML,0,NA,NA,NA,0,
D05215,CHIL,35,3.89,4,2.27,4.04,
D05215,GAMM,36,2.5,2,1.61,9.52,
D05215,NZMS,17764,0.5,0.5,0.03,66.79,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05215,SIML,0,NA,NA,NA,0,
D05222,CHIL,31,4.42,4,2.67,5.4,
D05222,GAMM,37,3.46,3,1.43,15.86,
D05222,NZMS,27064,0.5,0.5,0.02,100.94,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05222,SIML,0,NA,NA,NA,0,
D05227,CHIL,49,4.45,5,1.08,4.85,
D05227,GAMM,47,2.96,3,1.12,12.28,
D05227,NZMS,20994,0.5,0.5,0.03,78.77,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM). Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples col"
D05227,SIML,0,NA,NA,NA,0,
D05234,CHIL,35,4.37,4,0.84,3.19,
D05234,GAMM,69,2.32,2,1.23,11.97,
D05234,NZMS,1552,0.5,0.5,0.01,5.78,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05234,SIML,1,8,8,NA,1.05,
D05236,CHIL,35,3.57,3,1.72,2.68,
D05236,GAMM,27,2.96,3,1.13,7.13,
D05236,NZMS,16279,0.5,0.5,0.06,63.31,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM). Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples col"
D05236,SIML,0,NA,NA,NA,0,
D05318,CHIL,45,3.76,4,1.3,3.18,
D05318,GAMM,47,2.68,2,1.48,12.37,
D05318,NZMS,1822,0.52,0.5,0.1,7.86,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05318,SIML,0,NA,NA,NA,0,
D05320,CHIL,15,3.93,4,0.88,1.05,
D05320,GAMM,15,2.67,3,0.72,2.49,
D05320,NZMS,3548,0.5,0.5,0.09,14.66,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05320,SIML,0,NA,NA,NA,0,
D05331,CHIL,22,3.91,4,1.31,1.72,
D05331,GAMM,22,2.91,3,0.81,4.72,
D05331,NZMS,2407,0.62,0.5,0.58,48.29,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM). Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples col"
D05331,SIML,0,NA,NA,NA,0,
D05341,CHIL,14,3.93,3,2.3,1.62,
D05341,GAMM,21,2.48,2,0.6,2.77,
D05341,NZMS,882,0.5,0.5,0.02,3.29,"Coarse sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 2850 (2017-07-12 JDM). Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples col"
D05341,SIML,0,NA,NA,NA,0,
D05357,CHIL,18,3.33,3,1.03,0.89,
D05357,GAMM,2,2,2,1.41,0.21,
D05357,NZMS,25,0.5,0.5,0,0.09,
D05357,SIML,4,2.75,2,1.5,0.3,
D05359,CHIL,52,3.79,3,1.43,3.98,
D05359,GAMM,12,2.75,3,1.14,2.57,
D05359,NZMS,76,0.53,0.5,0.29,0.57,
D05359,SIML,3,5,5,0,0.76,
D05362,CHIL,45,3.38,3,1.05,2.31,
D05362,GAMM,34,2.53,2.5,0.75,5.07,
D05362,NZMS,314,0.5,0.5,0,1.17,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05362,SIML,2,5.5,5.5,3.54,1.1,
D05452,CHIL,17,2.59,2,1.23,0.54,
D05452,GAMM,1,1,1,NA,0.01,
D05452,NZMS,64,0.52,0.5,0.11,0.29,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05452,SIML,0,NA,NA,NA,0,
D05453,CHIL,16,2.69,2.5,1.14,0.53,
D05453,GAMM,2,1.5,1.5,0.71,0.07,
D05453,NZMS,60,0.5,0.5,0,0.22,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05453,SIML,1,1,1,NA,0,
D05463,CHIL,8,3.12,3,0.83,0.31,
D05463,GAMM,0,NA,NA,NA,0,
D05463,NZMS,12,0.54,0.5,0.14,0.06,
D05463,SIML,0,NA,NA,NA,0,
D05464,CHIL,8,2.38,3,0.92,0.17,
D05464,GAMM,0,NA,NA,NA,0,
D05464,NZMS,11,0.55,0.5,0.15,0.06,
D05464,SIML,0,NA,NA,NA,0,
D05465,CHIL,7,2.43,2,0.98,0.16,
D05465,GAMM,1,2,2,NA,0.06,
D05465,NZMS,6,0.58,0.5,0.2,0.04,
D05465,SIML,0,NA,NA,NA,0,
D05469,CHIL,4,3.25,3.5,1.71,0.22,
D05469,GAMM,0,NA,NA,NA,0,
D05469,NZMS,0,NA,NA,NA,0,
D05469,SIML,0,NA,NA,NA,0,
D05470,CHIL,0,NA,NA,NA,0,
D05470,GAMM,0,NA,NA,NA,0,
D05470,NZMS,2,1,1,0,0.04,
D05470,SIML,0,NA,NA,NA,0,
D05471,CHIL,2,4.5,4.5,0.71,0.19,
D05471,GAMM,4,2.5,2.5,0.58,0.52,
D05471,NZMS,168,0.52,0.5,0.09,0.72,"Fine sieve sample numbers manipulated to put counts > 30 in count extra bin, consistent with samples collected after SampleID 3800 (2017-07-12 JDM)."
D05471,SIML,0,NA,NA,NA,0,
D05472,CHIL,3,1.67,2,0.58,0.02,
D05472,GAMM,1,1,1,NA,0.01,
D05472,NZMS,13,0.54,0.5,0.14,0.06,
D05472,SIML,0,NA,NA,NA,0,
D05473,CHIL,2,5,5,1.41,0.26,
D05473,GAMM,0,NA,NA,NA,0,
D05473,NZMS,3,0.5,0.5,0,0.01,
D05473,SIML,0,NA,NA,NA,0,
D05474,CHIL,2,3.5,3.5,0.71,0.1,
D05474,GAMM,0,NA,NA,NA,0,
D05474,NZMS,14,0.57,0.5,0.18,0.08,
D05474,SIML,0,NA,NA,NA,0,
